theme	action	reason	http	observed_issue
templist	FAIL	http_500	500	ParseError: syntax error, unexpected token &quot;*&quot;, expecting end of file in theme_render_templat 
shakennotstirred	FAIL	http_500	500	ParseError: syntax error, unexpected token &quot;*&quot;, expecting end of file in theme_render_templat 
jq_theme	PASS		200	
icandy	PASS		200	
bartik_fb	PASS		200	
academia	PASS		200	
b2_drupal_plus	PASS		200	
profolio	SKIP	no_info_file		
fold	PASS		200	
plasma	PASS		200	
arti	PASS		200	
parish_theme	PASS		200	
touch	PASS		200	
adaptic	PASS		200	
zebilla	PASS		200	
hiya	SKIP	no_info_file		
sankofa	PASS		200	
mfirst	PASS		200	
havasu	PASS		200	
black_lagoon	FAIL	http_500	500	TypeError: file_copy(): Argument #1 ($source) must be of type File, stdClass given, called in /var/www/ 
lightword	PASS		200	
elegant_blue	PASS		200	
tarski	PASS		200	
blank	SKIP	no_info_file		
fdt_yellow	PASS		200	
fdt_grey	PASS		200	
professional_pro	PASS		200	
biz	PASS		200	
changeme	PASS		200	
addari	PASS		200	
superclean	FAIL	http_500	500	Error: Cannot access private property BlockLegacy::$content in include() (line 7 of /var/www/html/theme 
fueldeluxe	PASS		200	
pro	PASS		200	
modern_theme	FAIL	enable_failed		PHP Fatal error: Array and string offset access syntax with curly braces is no longer supported in /var/www/html/themes/pro/template.php on line 216 
sirbones	FAIL	enable_failed		PHP Fatal error: Array and string offset access syntax with curly braces is no longer supported in /var/www/html/themes/pro/template.php on line 216 
adelante	FAIL	enable_failed		PHP Fatal error: Array and string offset access syntax with curly braces is no longer supported in /var/www/html/themes/pro/template.php on line 216 
themage	FAIL	enable_failed		PHP Fatal error: Array and string offset access syntax with curly braces is no longer supported in /var/www/html/themes/pro/template.php on line 216 
responsive_green	FAIL	enable_failed		PHP Fatal error: Array and string offset access syntax with curly braces is no longer supported in /var/www/html/themes/pro/template.php on line 216 
lexi_responsive_theme	FAIL	enable_failed		PHP Fatal error: Array and string offset access syntax with curly braces is no longer supported in /var/www/html/themes/pro/template.php on line 216 
professional_responsive_theme	FAIL	enable_failed		PHP Fatal error: Array and string offset access syntax with curly braces is no longer supported in /var/www/html/themes/pro/template.php on line 216 
